Task_ID,Description,Required_Skills,Deadline,Priority,Estimated_Hours,Dependencies,Urgency_Score,AI_Confidence,Best_Employee,Backup_Employee,Skill_Gaps
TASK-1044,Industrial task #44,Embedded Systems,2025-05-11,Medium,12.3,TASK-1043,0.67,93%,Frank,Dave,
TASK-1045,Industrial task #45,AWS|SQL|CAD,2025-05-08,Low,39.3,None,0.56,79%,Frank,Eve,Embedded Systems
TASK-1046,Industrial task #46,React|Data Analysis,2025-05-10,High,13.0,TASK-1045,0.62,93%,Frank,Dave,
TASK-1047,Industrial task #47,AWS|Python,2025-05-06,High,29.4,None,0.66,79%,Henry,Frank,
TASK-1048,Industrial task #48,Python,2025-04-04,High,28.8,None,0.62,80%,Frank,Henry,React
TASK-1049,Industrial task #49,AWS|Electrical|UI/UX,2025-05-22,Medium,30.7,None,0.63,80%,Henry,Frank,Data Analysis
TASK-1050,Industrial task #50,CAD,2025-04-22,High,26.3,None,0.56,83%,Bob,Eve,Embedded Systems
TASK-1051,Industrial task #51,Embedded Systems,2025-05-19,High,3.5,None,0.65,80%,Henry,Frank,
TASK-1052,Industrial task #52,UI/UX|AWS,2025-05-09,High,20.6,None,0.74,90%,Dave,Carol,CAD
TASK-1053,Industrial task #53,SQL,2025-05-26,Medium,4.3,None,0.62,93%,Eve,Dave,CAD
TASK-1054,Industrial task #54,Python|Data Analysis,2025-04-12,High,19.8,TASK-1053,0.54,88%,Carol,Henry,
TASK-1055,Industrial task #55,Electrical|UI/UX|C++,2025-05-26,High,34.9,None,0.6,77%,Alice,Bob,SQL
TASK-1056,Industrial task #56,C++|SQL,2025-05-29,Low,27.5,TASK-1055,0.54,90%,Henry,Grace,UI/UX
TASK-1057,Industrial task #57,Python|C++,2025-05-07,Low,5.9,TASK-1056,0.63,80%,Frank,Carol,
TASK-1058,Industrial task #58,SQL,2025-05-24,High,38.1,None,0.69,79%,Bob,Henry,Electrical
TASK-1059,Industrial task #59,Embedded Systems|AWS,2025-05-28,Low,17.1,TASK-1058,0.64,87%,Eve,Henry,Python
TASK-1060,Industrial task #60,Electrical|AWS|React,2025-04-25,High,9.9,None,0.57,98%,Eve,Carol,React
TASK-1061,Industrial task #61,Embedded Systems|C++|AWS,2025-05-04,Medium,9.9,TASK-1060,0.56,87%,Dave,Henry,AWS
TASK-1062,Industrial task #62,React,2025-05-19,Low,9.3,None,0.56,90%,Bob,Grace,
TASK-1063,Industrial task #63,Python|C++,2025-04-26,High,39.0,None,0.63,86%,Dave,Grace,Electrical
TASK-1064,Industrial task #64,Data Analysis,2025-05-29,High,32.9,TASK-1062,0.62,94%,Bob,Henry,C++
TASK-1065,Industrial task #65,SQL|React|AWS,2025-04-08,High,21.0,None,0.55,79%,Eve,Bob,
TASK-1066,Industrial task #66,C++|Embedded Systems|AWS,2025-05-19,High,18.7,None,0.6,80%,Alice,Dave,Electrical
TASK-1067,Industrial task #67,Data Analysis|CAD|UI/UX,2025-04-30,Medium,19.5,None,0.58,76%,Carol,Henry,
TASK-1068,Industrial task #68,UI/UX,2025-05-10,Low,28.4,TASK-1066,0.72,83%,Dave,Grace,SQL
TASK-1069,Industrial task #69,C++|AWS,2025-04-07,Medium,34.8,TASK-1068,0.52,81%,Dave,Frank,Embedded Systems
TASK-1070,Industrial task #70,C++|SQL,2025-05-06,Medium,19.0,None,0.61,84%,Grace,Carol,Python
TASK-1071,Industrial task #71,Electrical,2025-05-15,High,8.4,None,0.54,94%,Eve,Grace,
TASK-1072,Industrial task #72,Python|UI/UX,2025-04-26,High,18.0,None,0.59,90%,Henry,Alice,Embedded Systems
TASK-1073,Industrial task #73,Electrical|C++|UI/UX,2025-04-05,High,31.4,None,0.53,82%,Alice,Henry,CAD
TASK-1074,Industrial task #74,UI/UX|CAD,2025-04-07,Low,20.1,TASK-1072,0.56,97%,Dave,Eve,
TASK-1075,Industrial task #75,UI/UX|CAD|SQL,2025-05-10,High,15.8,None,0.62,81%,Carol,Bob,
TASK-1076,Industrial task #76,SQL|React,2025-04-09,Medium,12.8,None,0.69,76%,Eve,Dave,
TASK-1077,Industrial task #77,UI/UX|Python|CAD,2025-05-31,High,5.4,None,0.57,81%,Henry,Eve,Electrical
TASK-1078,Industrial task #78,CAD|React|AWS,2025-04-19,High,11.7,None,0.61,92%,Alice,Bob,
TASK-1079,Industrial task #79,React,2025-05-10,Medium,11.1,None,0.7,71%,Henry,Bob,
TASK-1080,Industrial task #80,AWS|React|SQL,2025-04-17,High,7.4,None,0.71,90%,Alice,Eve,Electrical
TASK-1081,Industrial task #81,UI/UX|Embedded Systems,2025-05-26,Low,28.8,None,0.65,85%,Alice,Bob,AWS
TASK-1082,Industrial task #82,React,2025-05-01,High,39.5,None,0.71,79%,Eve,Alice,
TASK-1083,Industrial task #83,AWS|Electrical|C++,2025-04-25,High,33.6,TASK-1081,0.72,83%,Dave,Alice,
TASK-1084,Industrial task #84,React,2025-05-08,High,37.1,None,0.59,88%,Alice,Bob,CAD
TASK-1085,Industrial task #85,Electrical|React|C++,2025-05-10,High,30.6,None,0.76,88%,Bob,Frank,Data Analysis
TASK-1086,Industrial task #86,Python|CAD|C++,2025-05-02,High,27.0,TASK-1084,0.71,85%,Bob,Grace,React
TASK-1087,Industrial task #87,React|Data Analysis,2025-05-02,High,39.0,None,0.72,75%,Alice,Carol,React
TASK-1088,Industrial task #88,CAD|Python,2025-05-12,Medium,36.6,TASK-1087,0.59,70%,Alice,Grace,
TASK-1089,Industrial task #89,SQL|Electrical|React,2025-04-05,High,2.2,None,0.67,94%,Grace,Bob,Python
TASK-1090,Industrial task #90,CAD|Data Analysis|SQL,2025-05-20,Medium,23.7,TASK-1088,0.68,73%,Eve,Dave,Electrical
TASK-1091,Industrial task #91,React|Embedded Systems|UI/UX,2025-05-19,Medium,5.2,None,0.57,84%,Dave,Alice,C++
TASK-1092,Industrial task #92,CAD|React,2025-05-12,Medium,4.0,None,0.6,84%,Alice,Carol,CAD
TASK-1093,Industrial task #93,Python,2025-04-26,Low,27.0,TASK-1092,0.69,90%,Grace,Alice,
TASK-1094,Industrial task #94,Data Analysis|UI/UX|React,2025-04-30,High,10.6,None,0.69,74%,Bob,Carol,CAD
TASK-1095,Industrial task #95,UI/UX,2025-05-13,Low,28.6,None,0.66,79%,Dave,Carol,
TASK-1096,Industrial task #96,Data Analysis,2025-04-24,High,2.5,None,0.53,93%,Frank,Dave,CAD
TASK-1097,Industrial task #97,Electrical|CAD,2025-04-13,Medium,36.1,TASK-1095,0.61,86%,Dave,Bob,
TASK-1098,Industrial task #98,Embedded Systems|Electrical,2025-04-14,High,35.5,None,0.66,92%,Henry,Frank,Data Analysis
TASK-1099,Industrial task #99,Embedded Systems|CAD|AWS,2025-04-30,Medium,20.8,TASK-1098,0.77,83%,Henry,Frank,Python
